id,trainId,runDate,lpId,alpId,departureTime,signOffTime,previousLpSignOffTime,previousAlpSignOffTime,createdAt,archivedAt
ASN_8116e7fd-8a00-4ee5-9f2d-014ed14693e5,TRN_4e355ba4-1908-48ca-ba90-2cb94846c2b6,2026-05-01,LP_f3de809d-c486-4bef-965a-2dbbe5aaea08,ALP_63b42e83-d91f-4d58-829c-e77ca225525e,2026-04-30T19:25:00.000Z,2026-05-01T22:20:00.000Z,,,2026-05-03T03:22:55.145Z,
ASN_eefb2ae0-867e-43cd-b2dd-30a85e42d943,TRN_71cfa76e-a9eb-4563-b485-2cb88a34de6e,2026-05-01,LP_4f8feaf2-0e87-4a80-bd6a-67c5b2ef8a15,ALP_7f67f6c6-1958-4190-aafe-9e90a2bcb305,2026-04-30T21:15:00.000Z,2026-05-01T16:30:00.000Z,,,2026-05-03T03:23:11.386Z,
ASN_898bcd9b-c748-413c-922a-fb8f35b9d580,TRN_e974f86c-3ddb-4051-bf1a-481a61a77bb9,2026-05-01,LP_ca77e450-14f9-48a7-afdd-0a4e02ece2f5,ALP_40696809-75f5-4252-843e-55f40f257fc8,2026-04-30T23:05:00.000Z,2026-05-01T17:15:00.000Z,,,2026-05-03T03:24:13.328Z,
ASN_c612aaea-5106-4478-bb2a-1f5758295960,TRN_3e68e6c6-75e9-4743-9f4e-114b3b985122,2026-05-01,LP_dcdbe1dd-53ec-468c-881c-7b1ff9fa51fb,ALP_0bc34831-54a6-460d-97bf-579ccbfa907e,2026-04-30T23:30:00.000Z,2026-05-01T17:20:00.000Z,,,2026-05-03T03:24:34.826Z,
ASN_fd1322c8-51b8-43e8-b063-6c29054dd052,TRN_568f685e-f6b4-4a1f-bbb0-23b45f3b5607,2026-05-01,LP_b9f499a8-88db-4f23-883a-a090148998d0,ALP_cce8f951-d1e9-4934-a047-ffa06d7e7a01,2026-05-01T01:00:00.000Z,2026-05-01T20:30:00.000Z,,,2026-05-03T03:41:36.857Z,
ASN_6d954676-abbf-4c52-a9e5-85762eef51da,TRN_0b3bf032-4b22-4a3d-b99c-2ca5d63243ad,2026-05-01,LP_33ddb9b5-9fef-4b46-8457-9618c31b4c7f,ALP_d1ad9fc6-22de-44aa-9630-ef1cc9287677,2026-05-01T01:05:00.000Z,2026-05-01T15:25:00.000Z,,,2026-05-03T03:42:02.792Z,
ASN_4f823403-1d55-4de1-a08b-78e06f3a772a,TRN_d3f01c19-70a0-4df5-a32b-fa3bd749cb32,2026-05-01,LP_0126cf80-fa34-43d4-acd5-207a93f69ff0,ALP_a79f97fa-426d-4e80-b9a0-c51438dfbffd,2026-05-01T01:10:00.000Z,2026-05-01T15:15:00.000Z,,,2026-05-03T03:42:20.741Z,
ASN_aea16143-1154-479a-a266-124abc9dc885,TRN_d0e8906e-621a-4e1e-aff2-5401a39bafeb,2026-05-01,LP_fe52cdc3-9f15-4ad9-9054-96b24fa2153e,ALP_15d85c93-133c-4ee2-a906-647ee536c107,2026-05-01T01:45:00.000Z,2026-05-02T02:15:00.000Z,,,2026-05-03T03:42:36.893Z,
ASN_2f105324-b966-47d5-97b5-b73153a9e5ba,TRN_c089f0b3-171b-4533-ae91-4ab6c8baa0e9,2026-05-01,LP_c4f8295c-d6fe-4c4d-8bf5-11ff3a5835ee,ALP_8e4762bd-c896-42ed-a770-3bd7f0789e54,2026-05-01T02:05:00.000Z,2026-05-01T07:30:00.000Z,,,2026-05-03T03:42:57.766Z,
ASN_1d4bbbfd-62a3-4fed-a72f-721e49b81989,TRN_7ec2edd4-778e-49bf-8baf-03095264780e,2026-05-01,LP_5291e577-a689-43d0-985d-69e8247b148e,ALP_2dc9373b-3b84-4f46-bc08-8b0a9bfad9b8,2026-05-01T09:00:00.000Z,2026-05-02T14:30:00.000Z,,,2026-05-03T03:43:59.238Z,
ASN_b8120a7e-20a2-4081-8fdc-44c053817887,TRN_0415cb0b-9ae8-4929-80f9-a933386624ae,2026-05-01,LP_3b52e3c6-3ecc-4046-b051-9423433812eb,,2026-05-01T09:45:00.000Z,2026-05-02T10:45:00.000Z,,,2026-05-03T03:44:08.594Z,
ASN_90bc2e07-fe0e-4f77-945d-000197a75592,TRN_3a1562db-5b3c-45d7-9705-0cfef7eb7a4a,2026-05-01,LP_a97db4dc-554f-4dec-ab4b-a75930600d29,,2026-05-01T10:30:00.000Z,2026-05-02T05:10:00.000Z,,,2026-05-03T03:44:16.095Z,
ASN_6107034f-5aa7-4d64-b39a-7929af6b8517,TRN_b05c9687-90ce-4197-91f9-84c1af8ef846,2026-05-01,LP_ccbb5c78-7df5-4b2d-aa90-abd07d0405d5,ALP_0b931273-ee19-4bcc-9645-a2cf330fbd24,2026-05-01T12:25:00.000Z,2026-05-02T09:05:00.000Z,,,2026-05-03T03:44:32.149Z,
ASN_b2bab7be-b7c6-4edf-89a3-9843bee1e3f6,TRN_404aaac2-a5d4-4612-b2d2-78233182db6e,2026-05-01,LP_a86c6828-e8ce-4ad2-9597-d4f0f9462db9,ALP_f1a7674b-c5eb-4c23-9483-b8d0ba0c845a,2026-05-01T13:15:00.000Z,2026-05-02T14:30:00.000Z,,,2026-05-03T03:47:26.702Z,
ASN_236da11a-339a-40da-a101-ac619631880f,TRN_1ce3d459-68a9-4224-9629-2f9a22968dbf,2026-05-01,LP_81b9329a-148e-47cc-91cf-e3e2f2995eb5,ALP_d07ef6fb-b801-4b56-a055-8d7a5271e82c,2026-05-01T06:20:00.000Z,2026-05-02T03:10:00.000Z,,,2026-05-03T03:58:10.407Z,
ASN_b62b653f-456f-47d1-8bf2-c4996a74c792,TRN_4e355ba4-1908-48ca-ba90-2cb94846c2b6,2026-05-02,LP_2207ec61-20bd-4afe-b004-93f11cd30533,ALP_c1751359-8f32-4a23-b0fe-c79f34f831f6,2026-05-01T19:25:00.000Z,2026-05-02T22:20:00.000Z,,,2026-05-03T04:01:46.776Z,
