Direction,position,trainNumber,from,to,signOn,signOff,dutyHrs,homeStationRest,outStationRest,kms,dayNight
outward,1,13351,CBE,ERS,7:35,13:50,6:15,,17:05,229,D
inward,2,13352,ERS,CBE,6:55,13:00,6:05,17:30,,305,D
outward,3,12084,CBE,TPJ,6:30,11:40,5:10,,7:50,242,D
inward,4,16187,TPJ,CBE,19:30,2:00,6:30,22:55,,242,N
outward,5,16187,CBE,ERS,0:55,7:15,6:20,,14:25,229,N
inward,5,16188,ERS,CBE,21:25,3:50,6:25,,,235,N
outward,7,13352,CBE,JTJ,11:50,17:50,6:00,,8:50,280,D
inward,8,13351,JTJ,CBE,2:40,8:40,6:00,22:35:00,,287,N
outward,9,16322,CBE,MDU,7:15,15:40,8:25,,9:35,304,D
inward,10,22667,MDU,CBE,1:15,7:45,6:30,22:55,,308,N
outward,11,20642,CBE,ED,6:40,9:15,2:35,,8:55,120,D
inward,11,20643,ED,CBE,18:10,20:45,2:35,,,120,D
,12,PR,,,,,,30:00:00,,,
outward,13,16188,CBE,TPJ,2:45,8:40,5:55,,8:10,242,N
inward,13,12083,TPJ,CBE,16:50,22:00,5:10,20:45:00,,242,D
outward,14,22668,CBE,MDU,18:45,1:00,6:15,,9:35,304,N
inward,15,16321,MDU,CBE,11:30,20:00,8:30,18:30:00,,308,D
outward,16,12676,CBE,SA,14:30,18:20,3:50,,8:00,160,D
inward,17,12673,SA,CBE,2:20,6:30,4:10,22:30:00,,167,N
outward,18,22666,CBE,SA,5:00,8:55,3:55,,9:50,160,N
inward,18,12679,SA,CBE,18:45,22:50,4:05,,,167,D
,19,PR,,,,,,33:15:00,,,
,TOTAL,,,,,,110:40:00,242:55:00,102:15:00,4651,
,FN HRS,,,,,,81:33:00,,,7350,
