Direction,position,trainNumber,from,to,signOn,signOff,dutyHrs,homeStationRest,outStationRest,kms
outward,1,56109,CBE,POY,17:55,20:00,9:05,,9:10,193
inward,1,56114,POY,CBE,20:55,22:50,,,,
outward,2,16616,CBE,ED,0:30,3:00,3:00,24:40:00,,120
inward,2,12675,ED,CBE,11:35,14:35,,,,
outward,3,66616,CBE,MTP,15:15,16:30,6:45,,12:25,186
conti,3,66617,MTP,CBE,16:45,17:30,,,,
conti,3,66618,CBE,MTP,17:55,18:40,,,,
conti,3,66619,MTP,PTJ,18:55,20:00,,,,
conti,3,66620,PTJ,MTP,20:15,22:00,,,,
inward,4,66613,MTP,CBE,10:25,11:40,5:50,,,152
outward,4,66614,CBE,MTP,11:50,12:35,,,,
conti,4,66615,MTP,PTJ,13:05,14:30,,,,
inward,4,66616,PTJ,CBE,15:30,16:15,,,,
,5,PR,,,,,,36:35:00,,
outward,6,12671,CBE,MTP,4:35,6:20,6:40,,9:20,150
conti,6,66611,MTP,PTJ,8:20,9:30,,,,
conti,6,66612,PTJ,MTP,9:40,11:15,,,,
inward,6,12672,MTP,CBE,20:20,22:45,2:25,17:25,,120
outward,7,66608,CBE,ED,16:10,19:25,5:05,,8:15,160
conti,7,66622,ED,SA,19:30,21:15,,,,
conti,8,66621,SA,ED,5:30,7:25,5:10,31:15:00,,167
inward,8,66601,ED,CBE,7:30,10:40,,,,
,TOTAL,,,,,,44:00:00,109:55:00,39:10:00,1248
,FN,,,,,,77:00:00,167:45:00,88:55:00,4680
