id,number,name,type,onwardFromStation,onwardToStation,runsOnDays,departureTimeOfDay,inwardTrainNumber,inwardFromStation,inwardToStation,inwardArrivalTimeOfDay,inwardArrivalDayOffset,archivedAt
TRN_4e355ba4-1908-48ca-ba90-2cb94846c2b6,16187,Karaikkal-Ernakulam Express,MAIL_EXPRESS,CBE,ERS,SUN|MON|TUE|WED|THU|FRI|SAT,00:55,16188,ERS,CBE,03:50,1,
TRN_71cfa76e-a9eb-4563-b485-2cb88a34de6e,16188,Ernakulam-Karaikkal Express,MAIL_EXPRESS,CBE,TPJ,SUN|MON|TUE|WED|THU|FRI|SAT,02:45,12083,TPJ,CBE,22:00,0,
TRN_e974f86c-3ddb-4051-bf1a-481a61a77bb9,12671,Nilagiri SF Express,PASSENGER,CBE,MTP,SUN|MON|TUE|WED|THU|FRI|SAT,04:35,12672,MTP,CBE,22:45,0,
TRN_3e68e6c6-75e9-4743-9f4e-114b3b985122,22666,KSR Bengaluru Uday Express,MAIL_EXPRESS,CBE,SA,SUN|MON|TUE|WED|THU|FRI|SAT,05:00,12679,SA,CBE,22:50,0,
TRN_d3f01c19-70a0-4df5-a32b-fa3bd749cb32,20642,Vande Bharat Express,VANDE_BHARAT,CBE,ED,SUN|MON|TUE|WED|THU|FRI|SAT,06:40,20643,ED,CBE,20:45,0,
TRN_0b3bf032-4b22-4a3d-b99c-2ca5d63243ad,16766,Tn Mtp Express,MAIL_EXPRESS,CBE,MTP,SUN|MON|FRI,06:35,16765,MTP,CBE,20:55,0,
TRN_568f685e-f6b4-4a1f-bbb0-23b45f3b5607,12084,Jan Shatabdi Express,MAIL_EXPRESS,CBE,TPJ,SUN|MON|WED|THU|FRI,06:30,16187,TPJ,CBE,02:00,1,
TRN_d0e8906e-621a-4e1e-aff2-5401a39bafeb,16322,COIMBATORE NAGERCOIL EXPRESS,MAIL_EXPRESS,CBE,MDU,SUN|TUE|WED|THU|FRI|SAT,07:15,22667,MDU,CBE,07:45,1,
TRN_c089f0b3-171b-4533-ae91-4ab6c8baa0e9,13351,Dhanbad-Alappuzha Express,MAIL_EXPRESS,CBE,ERS,SUN|MON|TUE|WED|THU|FRI|SAT,07:35,13352,ERS,CBE,13:00,0,
TRN_1ce3d459-68a9-4224-9629-2f9a22968dbf,13352,Alappuzha-Dhanbad Express,MAIL_EXPRESS,CBE,JTJ,SUN|MON|TUE|WED|THU|FRI|SAT,11:50,13351,JTJ,CBE,08:40,1,
TRN_7ec2edd4-778e-49bf-8baf-03095264780e,12676,Kovai SF Express,MAIL_EXPRESS,CBE,SA,SUN|MON|TUE|WED|THU|FRI|SAT,14:30,12673,SA,CBE,06:30,1,
TRN_0415cb0b-9ae8-4929-80f9-a933386624ae,66616,COIMBATORE - METUPALAIYAM MEMU,MEMU,CBE,MTP,SUN|MON|TUE|WED|THU|FRI|SAT,15:15,66616,PTJ,CBE,16:15,1,
TRN_3a1562db-5b3c-45d7-9705-0cfef7eb7a4a,66608,Palakkad Town - Erode MEMU,MEMU,CBE,SA,SUN|MON|TUE|WED|THU|FRI|SAT,16:00,66601,SA,CBE,10:40,1,
TRN_b05c9687-90ce-4197-91f9-84c1af8ef846,56109,Coimbatore–Pollachi Passenger,PASSENGER,CBE,POY,SUN|MON|TUE|WED|THU|FRI|SAT,17:55,12675,ED,CBE,14:35,1,
TRN_404aaac2-a5d4-4612-b2d2-78233182db6e,22668,Coimbatore-Nagercoil SF Express,MAIL_EXPRESS,CBE,MDU,SUN|MON|TUE|WED|THU|FRI|SAT,18:45,16321,MDU,CBE,20:00,1,
TRN_ff72cf3c-59eb-4c7b-9ede-18826bda867c,16619,Podanur Dhanbad Amrit Bharat,AMRIT_BHARAT,PTJ,JTJ,SAT,04:30,12695,JTJ,CBE,22:30,0,
TRN_92e9ab1b-9cac-406f-827d-a82c50487ab2,16618,Coimbatore-Rameswaram Express,MAIL_EXPRESS,CBE,ED,WED,19:45,16381,ED,CBE,23:55,0,
